month,year,house_value,mortgage_balance,homeowner_net_worth,homeowner_stock_portfolio,homeowner_stock_contribution,investor_net_worth,investor_stock_portfolio,investor_stock_contribution,stock_net_worth,gross_stock_portfolio,stock_loan_balance,monthly_rent,investment_property_rental_income,stock_contribution,renter_spendable_cash,homeowner_spendable_cash,investor_spendable_cash
16,1.3333333333333333,1574452.6379874602,1050200.4349155931,540948.9368530393,16696.733781172174,1000,582690.7713059697,58438.56823410261,3500,172448.39106907923,370063.5625409951,197615.17147191585,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
17,1.4166666666666667,1579226.7700539422,1046979.0814850805,550038.8281103274,17791.139541465724,1000,594516.6769639917,62268.98839513003,3500,177198.1182433435,374655.955726183,197457.83748283953,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
18,1.5,1584015.378476485,1043744.6038619413,559162.5078455844,18891.733231040787,1000,606391.8409231864,66121.06630864274,3500,181974.8237679759,379274.31497011613,197299.49120214023,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
19,1.5833333333333333,1588818.5071510011,1040496.9485765898,568320.1084117605,19998.54983734917,1000,618316.4830051333,69994.92443072207,3500,186778.6609719626,383918.7870886657,197140.1261167031,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
20,1.6666666666666667,1593636.200106507,1037236.0619415992,577511.7627105745,21111.62454566681,1000,630290.8240747415,73890.68590983382,3500,191609.78405631357,388589.5197278213,196979.73567150772,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
21,1.75,1598468.5015055253,1033961.8900508133,586737.6041949244,22230.992740212325,1000,642315.0860454551,77808.47459074312,3500,196468.34809902572,393286.6613683844,196818.31326935865,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
22,1.8333333333333333,1603315.4556444911,1030674.3787784553,595997.7668713076,23356.690005271837,1000,654389.4918844872,81748.41501845141,3500,201354.50906007475,398010.36133068847,196655.85227061372,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
23,1.9166666666666667,1608177.106954157,1027373.4737782336,605292.3853022534,24488.7521263302,1000,666514.2656180789,85710.63244215568,3500,206268.42378643475,402760.7697793459,196492.34599291114,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
24,2.0,1613053.5000000005,1024059.120482443,614621.594608766,25627.2150912086,1000,678689.6323367875,89695.25281923008,3500,211210.2500171269,407538.03772802156,196327.78771089466,5100.0,7650.0,2500,2971.204047479914,3500,3550.0
25,2.0833333333333335,1617944.679482633,1020731.2641010626,623985.5304727791,26772.1150912086,1000,690915.8182008006,93702.40281923008,3500,216180.14638829685,412342.31704423367,196162.17065593682,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
26,2.1666666666666665,1622850.6902382094,1017389.8496208502,633384.3291396219,27923.48852226264,1000,703193.0504452785,97732.20982791921,3500,221178.27243832068,417173.76045418135,195995.48801586067,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
27,2.25,1627771.5772388387,1014034.8218044329,642818.1274204968,29081.371986091057,1000,715521.5573857244,101784.80195131867,3500,226204.7886129404,422032.52154759987,195827.73293465946,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
28,2.3333333333333335,1632707.3855929961,1010666.125189394,652287.0626949677,30245.80229136563,1000,727901.5684233818,105860.30801977968,3500,231259.8562704285,426918.7547826432,195658.8985122147,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
29,2.4166666666666665,1637658.160545938,1007283.7040873559,661791.2729134618,31416.81645487973,1000,740333.314050661,109958.85759207902,3500,236343.637686782,431832.6154907943,195488.9778040123,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
30,2.5,1642623.9474801149,1003887.5025830596,671330.8965997803,32594.451702725044,1000,752817.0258565929,114080.58095953762,3500,241456.29606094566,436774.2598818027,195317.96382085705,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
31,2.5833333333333335,1647604.791915588,1000477.4645334405,680906.0728536226,33778.74547147501,1000,765352.9365323101,118225.6091501625,3500,246597.99552006583,441743.84504865075,195145.84952858492,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
32,2.6666666666666665,1652600.7395104475,997053.5335667004,690516.941353122,34969.73540937489,1000,777941.2798765592,122394.07393281207,3500,251768.9011247733,446741.52897254727,194972.62784777395,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
33,2.75,1657611.8360612297,993615.6530813752,700163.6423573932,36167.45937753859,1000,790582.2908012395,126586.10782138501,3500,256969.17887449684,451767.4705279498,194798.29165345296,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
34,2.8333333333333335,1662638.1275033373,990163.7662453993,709846.3167090904,37371.955451152266,1000,803276.205336971,130801.84407903289,3500,262198.9957128067,456821.82948761515,194622.83377480845,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
35,2.9166666666666665,1667679.659911461,986697.8159951664,719565.1058369792,38583.261920684716,1000,816023.260638691,135041.41672239645,3500,267458.5195327889,461904.7665276786,194446.2469948897,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
36,3.0,1672736.4795000008,983217.7450345862,729320.1517585192,39801.417293104605,1000,828823.6949912807,139304.96052586604,3500,272747.9191824497,467016.4432327616,194268.52405031188,5202.0,7803.0,2500,2869.204047479914,3500,3601.0
37,3.0833333333333335,1677808.6326234909,979723.4958341367,739111.5970824588,41026.4602931046,1000,841677.7478152202,143592.61102586603,3500,278067.3644701511,472157.0221011085,194089.65763095743,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
38,3.1666666666666665,1682896.1657770236,976215.0106299137,748939.5850114424,42258.42986433243,1000,854585.6596722734,147904.50452516341,3500,283417.0261700773,477326.6665497525,193909.6403796752,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
39,3.25,1687999.125596676,972692.2314226755,758804.2593446294,43497.36517062884,1000,867547.6722712013,152240.77809720082,3500,288797.07602773246,482525.54091971036,193728.4648919779,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
40,3.3333333333333335,1693117.5588599374,969155.0999768847,768705.7644803253,44743.30559727263,1000,880564.0284735068,156601.5695904541,3500,294207.6867654692,487753.81048120675,193546.12371573754,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
41,3.4166666666666665,1698251.5124861381,965603.5578197446,778644.2454186263,45996.290752232715,1000,893634.9722992079,160987.0176328144,3500,299649.03208804945,493011.64143892843,193362.60935087898,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
42,3.5,1703401.0335368796,962037.5462402335,788619.8477640733,47256.36046742721,1000,906760.7489326412,165397.2616359951,3500,305121.28668823617,498299.20093730744,193177.91424907127,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
43,3.5833333333333335,1708566.1692164654,958457.0062881336,798632.7177283216,48523.55479998967,1000,919941.6047282956,169832.4417999637,3500,310624.62625241745,503616.65706583485,192992.0308134174,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
44,3.6666666666666665,1713746.9668723347,954861.8787730564,808683.0021328208,49797.91403354254,1000,933177.787216677,174292.69911739873,3500,316159.2274662625,508964.1788644041,192804.95139814157,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
45,3.75,1718943.4739954958,951252.1042634649,818770.8484115086,51079.478679477696,1000,946469.5451102026,178778.17537817179,3500,321725.2680204099,514341.9363286848,192616.66830827488,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
46,3.8333333333333335,1724155.7382209613,947627.6230856902,828896.4046135155,52368.28947824433,1000,959817.1283091261,183289.013173855,3500,327322.92661618796,519750.1004155267,192427.17379933875,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
47,3.9166666666666665,1729383.8073281853,943988.3753229458,839059.8194058836,53664.38740064405,1000,973220.7879074935,187825.355902254,3500,332952.3829713682,525188.8430483947,192236.46007702645,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
48,4.0,1734627.729241501,940334.3008143365,849261.2420762979,54967.813649133335,1000,986680.776199131,192387.34777196648,3500,338613.81782595103,530658.3371228335,192044.51929688244,5306.040000000001,7959.060000000001,2500,2765.1640474799133,3500,3653.0200000000004
49,4.083333333333333,1739887.5520305603,936665.3391538645,859500.8225358292,56278.60965913333,1000,1000197.3466836623,196975.13380696648,3500,344307.4129479851,536158.7565119647,191851.3435639796,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
50,4.166666666666667,1745163.3239107737,932981.4296894304,869778.7113216905,57596.81710034711,1000,1013770.754072558,201588.8598512147,3500,350033.351139419,541690.2760720138,191656.92493259476,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
51,4.25,1750455.0932437533,929282.5115218303,880095.0596000073,58922.47787808426,1000,1027401.2542952177,206228.67257329472,3500,355791.81624198693,547253.0716478686,191461.25540588167,5412.1608,8118.2411999999995,2500,2659.0432474799145,3500,3706.080399999999
